img_data,img_link,link,name,num_ratings,price,stars
https://images-na.ssl-images-amazon.com/images/I/510AeOmIzlL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/510AeOmIzlL._AC_US160_.jpg,https://www.amazon.com/Teething-Soothing-Stimulating-Scratches-Protection/dp/B078T6YDCQ,"Baby Teething Mittens Self Soothing Pain Relief Mitt, Stimulating Teether Toy, Prevent Scratches Protection Glove with Travel Bag, Stay on Baby‘s Hand, Unisex for 0-6 Months Baby (2 Mittens - Pink)",94.0,12.97,4.3 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41alCxwCSpL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41alCxwCSpL._AC_US160_.jpg,https://www.amazon.com/Vinyl-Mini-Valentine-Rubber-Duckies/dp/B000MBZH32,Vinyl Mini Valentine Rubber Duckies; Pack of 24,84.0,14.99,3.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41Cav5d2mdL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Cav5d2mdL._AC_US160_.jpg,https://www.amazon.com/First-Years-Learning-Curve-Teether/dp/B000V2Y5BW,The First Years Learning Curve First Keys Teether,562.0,3.17,4.6 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51PtwKwsLwL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51PtwKwsLwL._AC_US160_.jpg,https://www.amazon.com/Melissa-Doug-Shapes-Wooden-Puzzle/dp/B000EK59H0,Melissa & Doug First Shapes Jumbo Knob Wooden Puzzle,484.0,9.99,4.1 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51nEm8KWodL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51nEm8KWodL._AC_US160_.jpg,https://www.amazon.com/Friction-Construction-Vehicles-Bulldozer-Toddlers/dp/B07416RXK2,"Friction Powered Cars Push and Go Car Construction Vehicles Toys Set of 4 Tractor,Bulldozer,Cement Mixer Truck,Dumper Push Back Cartoon Play for  2 3 Years Old Boys Toddlers Kids Gift",234.0,19.99,4.8 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51pqmP-UEBL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51pqmP-UEBL._AC_US160_.jpg,https://www.amazon.com/Baby-Toddler-Bath-Organizer-Storage/dp/B017PD6YHW,Baby/Toddler Bath Tub Toys Organizer/Storage - Durable Design + 2 Extra Strong Suction Cups! Large Storage/Bag/Holder for Toys Even as a Shower Caddy and Baby gift! Mold Free Playtime for Bathtime,334.0,7.99,3.6 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51-OIgsfqSL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51-OIgsfqSL._AC_US160_.jpg,https://www.amazon.com/LEGO-Architecture-London-Skyline-Collection/dp/B01KJENN0U,LEGO Architecture London 21034 Skyline Collection Gift,204.0,31.99,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41VTaeUh68L._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41VTaeUh68L._AC_US160_.jpg,https://www.amazon.com/B-toys-Toddlers-Keychain-Non-Toxic/dp/B0068GXZ9I,B. toys – FunKeys Toy – Funky Toy Keys for Toddlers and Babies – Toy Car Keys on a Keychain with Light and Sounds –100% Non-Toxic and BPA-Free,669.0,12.55,4.4 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51pOoefW-WL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51pOoefW-WL._AC_US160_.jpg,https://www.amazon.com/VTech-Busy-Learners-Activity-Purple/dp/B00OC5FU8Q,"VTech Busy Learners Activity Cube, Purple",2034.0,17.99,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41S-CsNRm1L._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41S-CsNRm1L._AC_US160_.jpg,https://www.amazon.com/Skip-Hop-Bath-Submarine-Monkey/dp/B01D214N38,"Skip Hop Zoo Bath Pull and Go Submarine, Monkey",300.0,7.99,4.1 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41OrIfOvcvL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41OrIfOvcvL._AC_US160_.jpg,https://www.amazon.com/Sassy-Rattlin-Rings-Blue-Black/dp/B002QB2LHQ,"Sassy Rattlin Rings, Blue/Black",602.0,4.99,4.5 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41rJwZDrbxL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41rJwZDrbxL._AC_US160_.jpg,https://www.amazon.com/Nuby-IcyBite-Soother-Teether-Colors/dp/B003N9G7AM,"Nuby IcyBite Soother Ring Teether, Colors May Vary",203.0,5.49,3.5 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51C4Mv00VyL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51C4Mv00VyL._AC_US160_.jpg,https://www.amazon.com/Paw-Patrol-2-1-Transforming/dp/B076VSP5HZ,"Paw Patrol – Flip & Fly Chase, 2-in-1 Transforming Vehicle",46.0,24.99,2.9 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51VoAlfyiyL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51VoAlfyiyL._AC_US160_.jpg,https://www.amazon.com/Teething-Self-Soothing-Hypoallergenic-BPA-Free-Food-Grade/dp/B07CTNJHZ9,"Teething Mittens (2 pcs) | Self-Soothing Unisex Teether Toys | Hypoallergenic Teething Glove for Boys and Girls | BPA-Free, Food-Grade Silicone Mitt | with Storage & Laundry Bag | Baby Shower Gift",104.0,12.99,4.3 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/415rriQJtsL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/415rriQJtsL._AC_US160_.jpg,https://www.amazon.com/Fisher-Price-Imaginext-Super-Friends-Batmobile/dp/B079HCYZ7V,"Fisher-Price Imaginext DC Super Friends, Ninja Armor Batmobile",44.0,17.9,4.8 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51Bj+IsJJmL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51Bj+IsJJmL._AC_US160_.jpg,https://www.amazon.com/Neliblu-Squirting-Dinosaur-Children-Assorted/dp/B01N1I9UC9,"Neliblu 12 Pack Squirting Bath Toys 3"" Rubber Dinosaur Squirts Baby and Children Bath Toys in Assorted Vivid Colors 1 Dozen",152.0,9.99,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51drLwNc-cL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51drLwNc-cL._AC_US160_.jpg,https://www.amazon.com/Peppa-Pig-99805-School-Playset/dp/B07BC6G3G6,Peppa Pig School Playset,95.0,29.99,4.5 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41gpeWllQAL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41gpeWllQAL._AC_US160_.jpg,https://www.amazon.com/LovelySprouts-Premium-Milestone-Pickling-Keepsake/dp/B079ZLMK6T,LovelySprouts Premium Solid Wood Milestone Age Blocks | Choose from 2 Stain Options (Pickling White) | Baby Age Photo Blocks | Perfect and Keepsake,18.0,27.96,4.6 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51-d3C5i6wL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51-d3C5i6wL._AC_US160_.jpg,https://www.amazon.com/Aurora-World-Carrier-Noahs-Playset/dp/B00SEKWNT4,"Aurora World Baby Talk Carrier, Noah's Ark Playset",118.0,23.7,4.6 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41DiBDwrCZL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41DiBDwrCZL._AC_US160_.jpg,https://www.amazon.com/Fisher-Price-Thomas-Friends-Adventures-Robot/dp/B0751WXDY1,"Fisher-Price Thomas & Friends Adventures, Robot Thomas 'n a Box",5.0,5.74,4.5 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51XzV7lL58L._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51XzV7lL58L._AC_US160_.jpg,https://www.amazon.com/Rasie-Toy-Nontoxic-Activity-Educational/dp/B07D8QKJ5H,"Raise Toy Baby Books,Baby Toys 6 to 12 Months,Infant Toys for 1 Year Old,Educational Toy for Boy and Girl,Touch and Feel Activity,Birthday Shower Present for Newborn",41.0,13.99,4.6 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41nuyZuSdQL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41nuyZuSdQL._AC_US160_.jpg,https://www.amazon.com/Melissa-Doug-Bowling-Convenient-Carrying/dp/B00EYTM7XG,Melissa & Doug K's Kids Bowling Friends Play Set and Game With 6 Pins and Convenient Carrying Case,287.0,19.99,4.6 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/31-Ya0ChB2L._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/31-Ya0ChB2L._AC_US160_.jpg,https://www.amazon.com/Fisher-Price-N8248-Brilliant-Basics-Rock-a-Stack/dp/B00000IZQP,Fisher-Price Brilliant Basics Rock-a-Stack,1282.0,12.69,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/31uTgdswEBL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/31uTgdswEBL._AC_US160_.jpg,https://www.amazon.com/Fisher-Price-Stack-Slide-Magic-Mountain/dp/B079ZRHL2H,Fisher-Price Stack & Slide Magic Mountain,15.0,7.69,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41ZDtXAcXnL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ZDtXAcXnL._AC_US160_.jpg,https://www.amazon.com/Bright-Starts-Light-Learn-Drum/dp/B00X0XGSVY,Bright Starts Light & Learn Drum,246.0,14.97,4.3 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41OYfjTgawL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41OYfjTgawL._AC_US160_.jpg,https://www.amazon.com/Peppa-Pig-Dinosaur-Park-Playtime/dp/B07BC6FMVT,Peppa Pig Dinosaur Park Playtime Set,42.0,9.99,4.1 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41zdIk8Pt6L._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zdIk8Pt6L._AC_US160_.jpg,https://www.amazon.com/Melissa-Doug-Turn-Wooden-Clock/dp/B00EM4QB3A,Melissa & Doug Turn & Tell Wooden Clock - Educational Toy With 12+ Reversible Time Cards,218.0,12.86,4.3 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51M99ow0Q6L._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51M99ow0Q6L._AC_US160_.jpg,https://www.amazon.com/Learning-Electronic-Educational-Development-Toddlers/dp/B0792MVKQX,"Musical Turtle Toy, English & Spanish Learning, Electronic Toys w/ Lights & Sounds, Early Educational Development Gift, 6, 7, 8, 9, 10, 11, 12 Months & Up, Baby, Infants, Toddlers, Boys, Girls",76.0,27.99,4.2 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/518tQo4cRgL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/518tQo4cRgL._AC_US160_.jpg,https://www.amazon.com/598701-Baby-Crinkle-Square-Sensory/dp/B07D5ZYQD7,"S&T 598701 Baby Crinkle Square Sensory Toys - 6"" x 6"", Assorted, 2PK",13.0,4.5,5 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41POfYwOkZL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41POfYwOkZL._AC_US160_.jpg,https://www.amazon.com/Patrol-Ultimate-Rescue-Rockys-Collectible/dp/B07BWQGG5N,"PAW Patrol Ultimate Rescue Rocky's Mini Crane Cart with Collectible Figure, Ages 3 and Up",13.0,7.99,4.3 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41wH5tgOiSL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wH5tgOiSL._AC_US160_.jpg,https://www.amazon.com/Fajiabao-Bathtub-Fishing-Toddlers-Children/dp/B06WRN3G9Q,"Fajiabao Bath Toys for Kids Bathtub Fun Toys Fishing Game with Cute Spotted Fish and Fishing Rod, Toy Ideal Gift for Toddlers Boys Girls Kids Children Set of 2（Color Random）",193.0,13.58,4.5 out of 5 stars
